Date,HSI Close
8/3/2012,19666.18
9/3/2012,19559.21
10/3/2012,20888.28
12/3/2012,21767.85
1/4/2012,18727.31
5/4/2012,21086
6/4/2012,18185.59
7/4/2012,19709.75
9/4/2012,19429.91
10/4/2012,20907.95
12/4/2012,21799.97
1/5/2012,18813.41
3/5/2012,21265.31
4/5/2012,20593
6/5/2012,18259.03
7/5/2012,19809.13
9/5/2012,19145.07
10/5/2012,21012.38
11/5/2012,22006.4
12/5/2012,22270.91
1/6/2012,18593.06
2/6/2012,20709.94
3/6/2012,20806.25
6/6/2012,18520.53
7/6/2012,19800.64
8/6/2012,19998.72
9/6/2012,19209.3
11/6/2012,21944.43
12/6/2012,22249.81
2/7/2012,20699.19
3/7/2012,20627.78
5/7/2012,20536.65
6/7/2012,18678.29
8/7/2012,20072.55
9/7/2012,19802.16
11/7/2012,22099.85
12/7/2012,22191.17
2/8/2012,21018.46
3/8/2012,20900.73
5/8/2012,20484.75
6/8/2012,18502.34
8/8/2012,20065.52
10/8/2012,20824.56
11/8/2012,21566.91
1/9/2012,18865.72
2/9/2012,21010.01
3/9/2012,21086
5/9/2012,20330.64
7/9/2012,19428.09
8/9/2012,20269.47
10/9/2012,20937.28
11/9/2012,21384.38
1/10/2012,19004.28
2/10/2012,20783.86
4/10/2012,20356.24
5/10/2012,20227.28
7/10/2012,19396.36
8/10/2012,20136.12
9/10/2012,19827.17
10/10/2012,20919.6
12/10/2012,22276.72
1/11/2012,19151.94
4/11/2012,20140.67
5/11/2012,19964.63
6/11/2012,18953.63
7/11/2012,19419.87
9/11/2012,19857.88
10/11/2012,20999.05
12/11/2012,22323.94
1/12/2012,19095.38
3/12/2012,21134.18
4/12/2012,20327.32
6/12/2012,18872.56
7/12/2012,19025.11
9/12/2012,20075.39
10/12/2012,21136.43
11/12/2012,21430.3
12/12/2012,22503.35
2/1/2013,23721.84
3/1/2013,22880.22
8/1/2013,22088.79
11/1/2013,23249.79
1/2/2013,23311.98
4/2/2013,22367.82
5/2/2013,22668.3
7/2/2013,20658.65
8/2/2013,22190.97
9/2/2013,22175.34
10/2/2013,22984.48
12/2/2013,24038.55
1/3/2013,23398.6
4/3/2013,22337.49
5/3/2013,22689.96
6/3/2013,22282.19
7/3/2013,20147.31
9/3/2013,22394.58
10/3/2013,23214.4
12/3/2013,23910.47
1/4/2013,23331.09
2/4/2013,23685.01
3/4/2013,22537.81
6/4/2013,22285.52
7/4/2013,20468.67
9/4/2013,22326.22
10/4/2013,23138.54
11/4/2013,23189.62
12/4/2013,23728.7
2/5/2013,23148.53
3/5/2013,22560.5
4/5/2013,21726.9
6/5/2013,22069.24
7/5/2013,20854.67
8/5/2013,22222.01
9/5/2013,22597.97
11/5/2013,23038.95
12/5/2013,23712.57
2/6/2013,23256.93
3/6/2013,22777.84
5/6/2013,22915.09
6/6/2013,21838.43
8/6/2013,21923.7
9/6/2013,22621.22
11/6/2013,23036.94
12/6/2013,23743.1
1/7/2013,23329.75
2/7/2013,23177
3/7/2013,22771.44
5/7/2013,23047.09
6/7/2013,21575.26
8/7/2013,21588.84
10/7/2013,22973.95
11/7/2013,22881.03
1/8/2013,23111.19
2/8/2013,23215.16
3/8/2013,23091.95
4/8/2013,21718.05
5/8/2013,23244.35
7/8/2013,20582.19
8/8/2013,21655.88
10/8/2013,23178.85
