Date, Open, High, Low, Close
9/5/2018,27789.02,27861.99,27208.34,27243.85
9/4/2018,27619.18,27984.89,27563.79,27973.34
9/3/2018,27809.45,27822.19,27577.04,27712.54
08/31/18,27798.21,27962.03,27720.32,27888.55
08/30/18,28533.93,28533.93,28121.4,28164.05
08/29/18,28362.84,28485.83,28272.13,28416.44
08/28/18,28530.89,28579.64,28234.53,28351.62
08/27/18,28016.66,28289.06,27956.04,28271.27
08/24/18,27565.98,27830.91,27532.06,27671.87
08/23/18,28005.33,28051.65,27659.21,27790.46
08/22/18,27836.68,27954.52,27579.8,27927.58
08/21/18,27670.54,27771.3,27526.3,27752.79
08/20/18,27273.78,27609.8,27209.22,27598.02
08/17/18,27388.57,27450.84,27101.1,27213.41
08/16/18,26871.11,27405.25,26871.11,27100.06
08/15/18,27724.72,27727.27,27249.08,27323.59
08/14/18,27938.32,27946.55,27522.82,27752.93
08/13/18,27956.78,28085.17,27823.21,27936.57
8/10/2018,28614.73,28665.9,28296.99,28366.62
8/9/2018,28260.5,28728.17,28192.81,28607.3
8/8/2018,28473.48,28473.48,28224.46,28359.14
8/7/2018,27889.44,28266.68,27843.16,28248.88
8/6/2018,27885.51,28074.53,27730.42,27819.56
8/3/2018,27751.6,27786.15,27604.56,27676.32
8/2/2018,28159.01,28218.28,27578.09,27714.56
8/1/2018,28756.72,28772.8,28219.97,28340.74
07/31/18,28663.14,28682.31,28538.03,28583.01
07/30/18,28631.05,28839.24,28539.56,28733.13
07/27/18,28734.73,28816.69,28572.79,28804.28
07/26/18,29083.4,29083.4,28625.08,28781.14
07/25/18,28906.97,28964.79,28764.35,28920.9
07/24/18,28282.3,28718,28282.3,28662.57
07/23/18,28298.61,28391.58,28091.06,28256.12
07/20/18,28054.76,28294.74,27745.85,28224.48
07/19/18,28251.16,28329.98,27998.36,28010.86
07/18/18,28352.11,28386.38,28045.47,28117.42
07/17/18,28451.5,28460.87,28137.95,28181.68
07/16/18,28580.96,28699.21,28327,28539.66
07/13/18,28689.18,28715.36,28500.51,28525.44
7/12/2018,28260.09,28614.53,28217.31,28480.83
7/11/2018,28013.72,28365.72,28013.72,28311.69
7/10/2018,28900.71,28981.93,28682.25,28682.25
7/9/2018,28606.16,28821.54,28518.52,28688.5
7/6/2018,28254.37,28554.21,27925.33,28315.62
7/5/2018,28101.85,28320.9,27830.75,28182.09
7/4/2018,28546.32,28642.34,28141.28,28241.67
7/3/2018,28617,28617,27990.45,28545.57
06/29/18,28463.85,28962.29,28463.85,28955.11
06/28/18,28368.01,28567.29,28169.1,28497.32
06/27/18,28957.64,28988.83,28342.82,28356.26
06/26/18,28881.18,29034.23,28505.09,28881.4
06/25/18,29326.12,29403.36,28895.4,28961.39
06/22/18,29215.54,29436.84,29089.39,29338.7
06/21/18,29764.05,29882.27,29285.71,29296.05
06/20/18,29478.46,29944.3,29406.2,29696.17
06/19/18,29999.01,30012.04,29332.28,29468.15
06/15/18,30411.07,30519.29,30259.11,30309.49
06/14/18,30684.07,30777.96,30349.96,30440.17
06/13/18,30990.37,31023.73,30688.26,30725.15
6/12/2018,31029.85,31242.86,30944.97,31103.06
6/11/2018,31016.52,31134.03,30898.57,31063.7
6/8/2018,31435.26,31435.26,30874.1,30958.21
6/7/2018,31464.63,31521.13,31369.28,31512.63
6/6/2018,31162.02,31332.42,31161.37,31259.1
6/5/2018,31009.47,31188.93,30896.11,31093.45
6/4/2018,30836.77,31012.92,30743.18,30997.98
6/1/2018,30548.78,30581.12,30363.49,30492.91
05/31/18,30274.18,30533.58,30148.43,30468.56
05/30/18,30109.37,30241.23,29964.34,30056.79
05/29/18,30647.26,30713.32,30454.18,30484.58
05/28/18,30759.84,30839.3,30530.47,30792.26
05/25/18,30664.27,30736.97,30525.74,30588.04
05/24/18,30718.66,30788.97,30589.38,30760.41
05/23/18,31191.87,31191.87,30665.64,30665.64
05/21/18,31232.79,31464.1,31232.79,31234.35
05/18/18,31033.97,31148.06,30904.68,31047.91
