Date,亞歐基金_Price
2016/06/16,128.12
2016/06/17,129.34
2016/06/18,129.34
2016/06/19,129.34
2016/06/20,132.24
2016/06/21,133.33
2016/06/22,132.88
2016/06/23,135.91
2016/06/24,125.76
2016/06/25,125.76
2016/06/26,125.76
2016/06/27,123.73
2016/06/28,126.36
2016/06/29,128.57
2016/06/30,130.51
2016/07/01,130.51
2016/07/02,130.51
2016/07/03,130.51
2016/07/04,130.82
2016/07/05,128.4
2016/07/06,127.94
2016/07/07,127.74
2016/07/08,129.18
2016/07/09,129.18
2016/07/10,129.18
2016/07/11,130.97
2016/07/12,132.85
2016/07/13,132.84
2016/07/14,134.0
2016/07/15,133.61
2016/07/16,133.61
2016/07/17,133.61
2016/07/18,133.93
2016/07/19,132.92
2016/07/20,134.21
2016/07/21,133.82
2016/07/22,133.97
2016/07/23,133.97
2016/07/24,133.97
2016/07/25,133.9
2016/07/26,134.58
2016/07/27,134.87
2016/07/28,134.85
2016/07/29,135.81
2016/07/30,135.81
2016/07/31,135.81
2016/08/01,135.45
2016/08/02,135.45
2016/08/03,134.01
2016/08/04,134.73
2016/08/05,135.6
2016/08/06,135.6
2016/08/07,135.6
2016/08/08,136.16
2016/08/09,137.05
2016/08/10,137.42
2016/08/11,138.32
2016/08/12,138.26
2016/08/13,138.26
2016/08/14,138.26
2016/08/15,138.96
2016/08/16,138.68
2016/08/17,138.52
2016/08/18,139.42
2016/08/19,138.4
2016/08/20,138.4
2016/08/21,138.4
2016/08/22,138.62
2016/08/23,139.1
2016/08/24,138.61
2016/08/25,138.14
2016/08/26,137.65
2016/08/27,137.65
2016/08/28,137.65
2016/08/29,137.89
2016/08/30,137.9
2016/08/31,137.67
2016/09/01,138.73
2016/09/02,140.01
2016/09/03,140.01
2016/09/04,140.01
2016/09/05,140.44
2016/09/06,141.37
2016/09/07,141.44
2016/09/08,141.22
2016/09/09,139.37
2016/09/10,139.37
2016/09/11,139.37
2016/09/12,139.39
2016/09/13,137.06
2016/09/14,136.85
2016/09/15,137.97
2016/09/16,137.97
2016/09/17,137.97
