Date,富達增長基金_Price
2013/02/12,104.09
2013/02/13,104.09
2013/02/14,104.63
2013/02/15,104.43
2013/02/16,104.43
2013/02/17,104.43
2013/02/18,104.51
2013/02/19,104.51
2013/02/20,104.69
2013/02/21,103.09
2013/02/22,103.27
2013/02/23,103.27
2013/02/24,103.27
2013/02/25,103.07
2013/02/26,102.22
2013/02/27,102.77
2013/02/28,103.99
2013/03/01,103.61
2013/03/02,103.61
2013/03/03,103.61
2013/03/04,103.13
2013/03/05,103.87
2013/03/06,104.52
2013/03/07,104.43
2013/03/08,104.89
2013/03/09,104.89
2013/03/10,104.89
2013/03/11,105.16
2013/03/12,104.69
2013/03/13,104.03
2013/03/14,104.5
2013/03/15,104.58
2013/03/16,104.58
2013/03/17,104.58
2013/03/18,103.17
2013/03/19,103.16
2013/03/20,103.72
2013/03/21,103.62
2013/03/22,103.43
2013/03/23,103.43
2013/03/24,103.43
2013/03/25,103.5
2013/03/26,103.78
2013/03/27,104.15
2013/03/28,104.05
2013/03/29,104.05
2013/03/30,104.05
2013/03/31,104.05
2013/04/01,104.05
2013/04/02,103.84
2013/04/03,103.65
2013/04/04,103.65
2013/04/05,102.52
2013/04/06,102.52
2013/04/07,102.52
2013/04/08,102.79
2013/04/09,103.25
2013/04/10,104.46
2013/04/11,105.3
2013/04/12,105.11
2013/04/13,105.11
2013/04/14,105.11
2013/04/15,103.79
2013/04/16,103.69
2013/04/17,103.31
2013/04/18,102.65
2013/04/19,103.68
2013/04/20,103.68
2013/04/21,103.68
2013/04/22,104.13
2013/04/23,104.41
2013/04/24,105.43
2013/04/25,106.08
2013/04/26,106.36
2013/04/27,106.36
2013/04/28,106.36
2013/04/29,106.62
2013/04/30,107.46
2013/05/01,107.46
2013/05/02,106.99
2013/05/03,107.45
2013/05/04,107.45
2013/05/05,107.45
2013/05/06,107.81
2013/05/07,108.65
2013/05/08,109.49
2013/05/09,109.01
2013/05/10,109.19
2013/05/11,109.19
2013/05/12,109.19
2013/05/13,108.99
2013/05/14,109.08
2013/05/15,109.63
2013/05/16,109.63
2013/05/17,109.63
2013/05/18,109.63
2013/05/19,109.63
2013/05/20,110.82
2013/05/21,110.53
2013/05/22,110.15
2013/05/23,108.0
2013/05/24,108.09
2013/05/25,108.09
2013/05/26,108.09
2013/05/27,107.79
2013/05/28,108.62
2013/05/29,108.06
2013/05/30,107.77
2013/05/31,107.02
2013/06/01,107.02
2013/06/02,107.02
2013/06/03,106.54
2013/06/04,106.81
2013/06/05,105.5
2013/06/06,105.12
2013/06/07,105.21
2013/06/08,105.21
2013/06/09,105.21
2013/06/10,105.75
2013/06/11,105.01
