Date,亞洲債券基金_Price
2014/07/22,105.93
2014/07/23,106.02
2014/07/24,105.83
2014/07/25,105.73
2014/07/26,105.73
2014/07/27,105.73
2014/07/28,105.82
2014/07/29,105.72
2014/07/30,105.53
2014/07/31,105.25
2014/08/01,105.06
2014/08/02,105.06
2014/08/03,105.06
2014/08/04,105.34
2014/08/05,105.43
2014/08/06,105.33
2014/08/07,105.33
2014/08/08,105.61
2014/08/09,105.61
2014/08/10,105.61
2014/08/11,105.61
2014/08/12,105.61
2014/08/13,105.6
2014/08/14,105.97
2014/08/15,106.07
2014/08/16,106.07
2014/08/17,106.07
2014/08/18,106.25
2014/08/19,106.06
2014/08/20,105.87
2014/08/21,105.77
2014/08/22,105.86
2014/08/23,105.86
2014/08/24,105.86
2014/08/25,105.86
2014/08/26,106.04
2014/08/27,106.14
2014/08/28,106.23
2014/08/29,106.32
2014/08/30,106.32
2014/08/31,106.32
2014/09/01,106.32
2014/09/02,105.94
2014/09/03,105.84
2014/09/04,105.93
2014/09/05,105.74
2014/09/06,105.74
2014/09/07,105.74
2014/09/08,105.83
2014/09/09,105.83
2014/09/10,105.07
2014/09/11,104.97
2014/09/12,104.69
2014/09/13,104.69
2014/09/14,104.69
2014/09/15,104.5
2014/09/16,104.68
2014/09/17,104.68
2014/09/18,104.39
2014/09/19,104.3
2014/09/20,104.3
2014/09/21,104.3
2014/09/22,104.48
2014/09/23,104.57
2014/09/24,104.57
2014/09/25,104.38
2014/09/26,104.38
2014/09/27,104.38
2014/09/28,104.38
2014/09/29,104.09
2014/09/30,104.18
2014/10/01,104.18
2014/10/02,104.18
2014/10/03,104.18
2014/10/04,104.18
2014/10/05,104.18
2014/10/06,104.27
2014/10/07,104.46
2014/10/08,104.45
2014/10/09,105.02
2014/10/10,104.74
2014/10/11,104.74
2014/10/12,104.74
2014/10/13,105.01
2014/10/14,105.01
2014/10/15,105.2
2014/10/16,105.57
2014/10/17,105.28
2014/10/18,105.28
2014/10/19,105.28
2014/10/20,105.37
2014/10/21,105.65
2014/10/22,105.56
2014/10/23,105.37
2014/10/24,105.27
2014/10/25,105.27
2014/10/26,105.27
2014/10/27,105.27
2014/10/28,105.45
2014/10/29,105.55
2014/10/30,105.08
2014/10/31,104.8
2014/11/01,104.8
2014/11/02,104.8
2014/11/03,104.6
2014/11/04,104.6
2014/11/05,104.32
2014/11/06,104.32
2014/11/07,104.12
2014/11/08,104.12
2014/11/09,104.12
2014/11/10,104.5
2014/11/11,104.21
2014/11/12,104.4
2014/11/13,104.4
2014/11/14,104.3
2014/11/15,104.3
2014/11/16,104.3
2014/11/17,104.58
2014/11/18,104.58
2014/11/19,104.2
2014/11/20,104.1
2014/11/21,104.29
2014/11/22,104.29
2014/11/23,104.29
2014/11/24,104.28
2014/11/25,104.28
2014/11/26,104.56
2014/11/27,104.75
2014/11/28,104.65
2014/11/29,104.65
2014/11/30,104.65
2014/12/01,104.65
2014/12/02,104.46
2014/12/03,104.17
2014/12/04,104.07
2014/12/05,103.88
2014/12/06,103.88
2014/12/07,103.88
2014/12/08,103.41
2014/12/09,103.87
2014/12/10,103.96
2014/12/11,104.05
2014/12/12,104.05
2014/12/13,104.05
2014/12/14,104.05
2014/12/15,104.14
2014/12/16,104.33
2014/12/17,104.13
2014/12/18,103.94
2014/12/19,103.66
2014/12/20,103.66
2014/12/21,103.66
2014/12/22,103.75
2014/12/23,103.65
2014/12/24,103.56
2014/12/25,103.56
2014/12/26,103.56
2014/12/27,103.56
2014/12/28,103.56
2014/12/29,103.64
2014/12/30,103.83
2014/12/31,103.83
2015/01/01,103.83
2015/01/02,103.54
2015/01/03,103.54
2015/01/04,103.54
2015/01/05,103.63
2015/01/06,104.1
2015/01/07,104.09
2015/01/08,104.28
2015/01/09,104.47
2015/01/10,104.47
2015/01/11,104.47
2015/01/12,104.73
2015/01/13,104.92
2015/01/14,105.1
2015/01/15,105.19
2015/01/16,105.76
2015/01/17,105.76
2015/01/18,105.76
2015/01/19,105.47
2015/01/20,105.09
2015/01/21,105.09
2015/01/22,104.8
2015/01/23,104.61
2015/01/24,104.61
2015/01/25,104.61
2015/01/26,104.79
2015/01/27,104.79
2015/01/28,104.6
2015/01/29,104.41
2015/01/30,104.5
2015/01/31,104.5
2015/02/01,104.5
2015/02/02,104.78
2015/02/03,104.68
2015/02/04,104.68
2015/02/05,104.77
2015/02/06,104.68
2015/02/07,104.68
2015/02/08,104.68
2015/02/09,104.3
2015/02/10,104.01
2015/02/11,103.82
2015/02/12,103.63
2015/02/13,104.01
2015/02/14,104.01
2015/02/15,104.01
2015/02/16,103.82
2015/02/17,104.0
2015/02/18,103.43
2015/02/19,103.43
2015/02/20,103.43
2015/02/21,103.43
2015/02/22,103.43
2015/02/23,103.52
2015/02/24,103.52
2015/02/25,104.18
2015/02/26,104.36
2015/02/27,104.17
2015/02/28,104.17
2015/03/01,104.17
2015/03/02,104.07
2015/03/03,103.98
2015/03/04,103.79
2015/03/05,103.6
2015/03/06,103.41
2015/03/07,103.41
2015/03/08,103.41
2015/03/09,103.02
2015/03/10,102.63
2015/03/11,102.72
2015/03/12,103.19
2015/03/13,102.91
2015/03/14,102.91
2015/03/15,102.91
2015/03/16,103.0
2015/03/17,103.0
2015/03/18,103.09
2015/03/19,103.65
2015/03/20,103.74
2015/03/21,103.74
2015/03/22,103.74
2015/03/23,104.3
2015/03/24,104.58
2015/03/25,104.76
2015/03/26,104.57
2015/03/27,104.19
2015/03/28,104.19
2015/03/29,104.19
2015/03/30,104.0
2015/03/31,104.09
2015/04/01,104.18
2015/04/02,104.46
2015/04/03,104.46
2015/04/04,104.46
2015/04/05,104.46
2015/04/06,104.46
2015/04/07,104.46
2015/04/08,104.91
2015/04/09,104.82
2015/04/10,104.63
2015/04/11,104.63
2015/04/12,104.63
2015/04/13,104.25
2015/04/14,104.62
2015/04/15,104.62
2015/04/16,105.09
2015/04/17,105.27
2015/04/18,105.27
2015/04/19,105.27
2015/04/20,105.17
2015/04/21,105.08
2015/04/22,105.17
2015/04/23,104.88
2015/04/24,105.26
2015/04/25,105.26
2015/04/26,105.26
2015/04/27,105.53
2015/04/28,105.81
2015/04/29,105.62
2015/04/30,105.15
2015/05/01,105.15
2015/05/02,105.15
2015/05/03,105.15
2015/05/04,104.67
2015/05/05,104.67
2015/05/06,104.39
2015/05/07,103.82
2015/05/08,104.2
2015/05/09,104.2
2015/05/10,104.2
2015/05/11,104.0
2015/05/12,103.53
2015/05/13,104.09
2015/05/14,104.27
2015/05/15,104.46
2015/05/16,104.46
2015/05/17,104.46
2015/05/18,104.45
2015/05/19,103.99
2015/05/20,103.7
2015/05/21,103.89
2015/05/22,103.98
2015/05/23,103.98
2015/05/24,103.98
2015/05/25,103.98
2015/05/26,103.41
2015/05/27,103.41
2015/05/28,103.4
2015/05/29,103.5
2015/05/30,103.5
2015/05/31,103.5
