Date,中港基金_Price
2016/05/01,120.78
2016/05/02,120.78
2016/05/03,118.45
2016/05/04,118.08
2016/05/05,117.24
2016/05/06,115.25
2016/05/07,115.25
2016/05/08,115.25
2016/05/09,115.64
2016/05/10,116.37
2016/05/11,115.16
2016/05/12,114.43
2016/05/13,113.32
2016/05/14,113.32
2016/05/15,113.32
2016/05/16,114.13
2016/05/17,115.57
2016/05/18,113.63
2016/05/19,113.14
2016/05/20,114.54
2016/05/21,114.54
2016/05/22,114.54
2016/05/23,113.84
2016/05/24,114.32
2016/05/25,117.19
2016/05/26,117.4
2016/05/27,118.27
2016/05/28,118.27
2016/05/29,118.27
2016/05/30,118.6
2016/05/31,119.99
2016/06/01,119.52
2016/06/02,120.31
2016/06/03,120.95
2016/06/04,120.95
2016/06/05,120.95
2016/06/06,121.53
2016/06/07,123.06
2016/06/08,123.35
2016/06/09,123.35
2016/06/10,121.72
2016/06/11,121.72
2016/06/12,121.72
2016/06/13,118.85
2016/06/14,118.25
2016/06/15,118.35
2016/06/16,116.42
2016/06/17,117.28
2016/06/18,117.28
2016/06/19,117.28
2016/06/20,118.84
2016/06/21,119.95
2016/06/22,121.38
2016/06/23,121.68
2016/06/24,117.72
2016/06/25,117.72
2016/06/26,117.72
2016/06/27,117.6
2016/06/28,117.58
2016/06/29,119.3
2016/06/30,121.24
2016/07/01,121.24
2016/07/02,121.24
2016/07/03,121.24
2016/07/04,122.87
2016/07/05,120.88
2016/07/06,119.32
2016/07/07,120.51
2016/07/08,119.87
2016/07/09,119.87
2016/07/10,119.87
2016/07/11,121.46
2016/07/12,123.67
2016/07/13,124.29
2016/07/14,125.69
2016/07/15,126.48
2016/07/16,126.48
2016/07/17,126.48
2016/07/18,126.79
2016/07/19,125.81
2016/07/20,127.27
2016/07/21,127.59
2016/07/22,127.29
2016/07/23,127.29
2016/07/24,127.29
2016/07/25,127.51
2016/07/26,128.5
2016/07/27,128.04
2016/07/28,128.6
2016/07/29,127.37
2016/07/30,127.37
2016/07/31,127.37
2016/08/01,129.23
2016/08/02,129.23
2016/08/03,126.74
2016/08/04,127.25
2016/08/05,129.17
2016/08/06,129.17
2016/08/07,129.17
2016/08/08,130.89
2016/08/09,131.03
2016/08/10,131.04
2016/08/11,131.79
2016/08/12,133.02
2016/08/13,133.02
2016/08/14,133.02
2016/08/15,134.58
2016/08/16,134.14
2016/08/17,133.48
2016/08/18,134.89
2016/08/19,134.04
2016/08/20,134.04
2016/08/21,134.04
2016/08/22,134.46
2016/08/23,134.48
2016/08/24,133.28
2016/08/25,133.28
2016/08/26,134.08
2016/08/27,134.08
2016/08/28,134.08
2016/08/29,133.49
2016/08/30,134.43
2016/08/31,134.35
2016/09/01,135.65
2016/09/02,135.78
2016/09/03,135.78
2016/09/04,135.78
2016/09/05,138.09
2016/09/06,138.99
2016/09/07,139.09
2016/09/08,139.68
2016/09/09,141.19
2016/09/10,141.19
2016/09/11,141.19
2016/09/12,136.41
2016/09/13,135.98
2016/09/14,135.66
2016/09/15,136.54
2016/09/16,136.54
2016/09/17,136.54
2016/09/18,136.54
2016/09/19,137.55
2016/09/20,137.82
2016/09/21,138.32
2016/09/22,139.13
2016/09/23,138.16
2016/09/24,138.16
2016/09/25,138.16
2016/09/26,136.58
2016/09/27,137.77
2016/09/28,137.93
2016/09/29,138.79
2016/09/30,135.95
2016/10/01,135.95
2016/10/02,135.95
2016/10/03,137.58
2016/10/04,138.22
2016/10/05,138.8
2016/10/06,140.11
2016/10/07,139.55
2016/10/08,139.55
2016/10/09,139.55
2016/10/10,139.55
2016/10/11,137.62
2016/10/12,136.82
2016/10/13,134.76
2016/10/14,135.99
2016/10/15,135.99
2016/10/16,135.99
2016/10/17,134.93
2016/10/18,136.97
2016/10/19,136.31
2016/10/20,136.87
2016/10/21,136.87
2016/10/22,136.87
2016/10/23,136.87
2016/10/24,138.43
2016/10/25,138.18
2016/10/26,136.67
2016/10/27,135.52
2016/10/28,134.55
2016/10/29,134.55
2016/10/30,134.55
2016/10/31,134.55
2016/11/01,135.85
2016/11/02,133.98
2016/11/03,133.44
2016/11/04,133.14
2016/11/05,133.14
2016/11/06,133.14
2016/11/07,134.16
2016/11/08,134.48
2016/11/09,131.68
2016/11/10,134.29
2016/11/11,132.34
2016/11/12,132.34
2016/11/13,132.34
2016/11/14,130.79
2016/11/15,131.35
2016/11/16,131.22
2016/11/17,130.65
2016/11/18,130.97
2016/11/19,130.97
2016/11/20,130.97
2016/11/21,131.67
2016/11/22,133.8
2016/11/23,133.84
2016/11/24,133.19
2016/11/25,134.17
2016/11/26,134.17
2016/11/27,134.17
2016/11/28,134.81
2016/11/29,134.36
2016/11/30,134.83
2016/12/01,135.31
2016/12/02,133.47
2016/12/03,133.47
2016/12/04,133.47
2016/12/05,133.05
2016/12/06,133.86
2016/12/07,134.73
2016/12/08,134.86
2016/12/09,134.55
2016/12/10,134.55
2016/12/11,134.55
2016/12/12,132.28
2016/12/13,132.29
2016/12/14,132.51
2016/12/15,129.84
2016/12/16,129.85
2016/12/17,129.85
2016/12/18,129.85
2016/12/19,128.68
2016/12/20,127.97
2016/12/21,128.85
2016/12/22,127.75
2016/12/23,127.17
2016/12/24,127.17
2016/12/25,127.17
2016/12/26,127.17
2016/12/27,127.17
2016/12/28,127.93
2016/12/29,128.4
2016/12/30,129.29
2016/12/31,129.29
2017/01/01,129.29
2017/01/02,129.29
2017/01/03,130.48
2017/01/04,130.44
2017/01/05,132.21
2017/01/06,132.51
2017/01/07,132.51
2017/01/08,132.51
2017/01/09,132.94
2017/01/10,133.55
2017/01/11,134.89
2017/01/12,134.67
2017/01/13,135.03
2017/01/14,135.03
2017/01/15,135.03
2017/01/16,133.83
2017/01/17,134.6
2017/01/18,135.8
2017/01/19,135.71
2017/01/20,134.89
2017/01/21,134.89
2017/01/22,134.89
2017/01/23,134.65
2017/01/24,134.93
2017/01/25,135.38
2017/01/26,137.3
2017/01/27,137.24
2017/01/28,137.24
2017/01/29,137.24
2017/01/30,137.24
2017/01/31,137.24
2017/02/01,136.78
2017/02/02,135.94
2017/02/03,135.45
2017/02/04,135.45
2017/02/05,135.45
2017/02/06,136.92
2017/02/07,136.96
2017/02/08,138.22
2017/02/09,138.52
2017/02/10,139.17
2017/02/11,139.17
2017/02/12,139.17
2017/02/13,139.7
2017/02/14,139.99
2017/02/15,141.61
2017/02/16,142.39
2017/02/17,141.88
2017/02/18,141.88
2017/02/19,141.88
2017/02/20,142.58
2017/02/21,141.8
2017/02/22,142.8
2017/02/23,142.74
2017/02/24,142.29
2017/02/25,142.29
2017/02/26,142.29
2017/02/27,141.82
2017/02/28,140.75
2017/03/01,140.75
2017/03/02,140.11
2017/03/03,139.37
2017/03/04,139.37
2017/03/05,139.37
2017/03/06,139.44
2017/03/07,140.07
2017/03/08,140.41
2017/03/09,139.01
2017/03/10,139.15
2017/03/11,139.15
2017/03/12,139.15
2017/03/13,140.77
2017/03/14,140.94
2017/03/15,140.85
2017/03/16,143.57
2017/03/17,143.77
2017/03/18,143.77
2017/03/19,143.77
2017/03/20,144.68
2017/03/21,145.28
2017/03/22,143.59
2017/03/23,143.72
2017/03/24,144.21
2017/03/25,144.21
2017/03/26,144.21
2017/03/27,142.91
2017/03/28,143.78
2017/03/29,143.8
2017/03/30,143.32
2017/03/31,142.45
2017/04/01,142.45
2017/04/02,142.45
2017/04/03,142.76
2017/04/04,142.76
2017/04/05,143.59
2017/04/06,142.93
2017/04/07,142.9
2017/04/08,142.9
2017/04/09,142.9
2017/04/10,142.78
2017/04/11,141.91
2017/04/12,142.89
2017/04/13,142.69
2017/04/14,142.69
2017/04/15,142.69
2017/04/16,142.69
2017/04/17,142.69
2017/04/18,140.38
2017/04/19,140.24
2017/04/20,141.33
2017/04/21,141.04
